,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
324,Pathemari,8.3,Salim Ahmed,Salim Ahmed,,"Mammootty, Sreenivasan, Jewel Mary, Joy Mathew, Viji Chandrashekhar, Binu Adimali, Jennifer Antony, Anju Aravind, Gokulan, Kalabhavan Haneef, Anu Joseph, Stevin Stephen Kagoo, Santhosh Keezhattoor, Salim Kumar, Sruthi Lakshmi, Rohith Menon, Dinesh Prabhakar, Saju Navodaya","October 9, 2015 (India)",India,Malayalam,,,1 hour 58 minutes
325,Thulladha Manamum Thullum,8.3,Ezhil,"Ezhil, N. Prasanna Kumar",,"Joseph Vijay, Simran, Dhamu, Vaiyapuri, Madhan Bob, Ponnambalam, Paari Venkat, Anoop Aravindan, Manivannan","January 29, 1999 (India)",India,Tamil,,,2 hours 50 minutes
326,Aloko Udapadi,8.3,"Chathra Weeraman, Bharatha Hettiarachchi",Saman Weeraman,,"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris, Nihal Fernando, Kapila Sigera, Dilip Manohara, Shammu Kasun Madusanka, Rajasinha Loluwagoda, Sirisena Pallewatte, Indika Madurage, Mavuli Matheesha, Nayana Manujitha, Ajith Kumara, Dineth De Silva, Dharshan Dharmaraj, W. Jayasiri, Samanthi Lanerole","January 20, 2017 (Sri Lanka)",Sri Lanka,"Sinhala, Tamil","LKR 130,000,000 (estimated)",,1 hour 53 minutes
327,Wicked,8.2,Jon M. Chu,"Winnie Holzman, Dana Fox, Gregory Maguire",73.0,"Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey, Ethan Slater, Marissa Bode, Peter Dinklage, Andy Nyman, Courtney Mae-Briggs, Bowen Yang, Bronwyn James, Aaron Teoh Guan Ti, Shaun Prendergast, Keala Settle, Sharon D. Clarke, Jenna Boyd, Colin Michael Carmichael","November 21, 2024 (Iceland)","United States, Canada, Iceland",English,"$150,000,000 (estimated)","$194,926,510",2 hours 40 minutes
328,Anora,8.2,Sean Baker,Sean Baker,91.0,"Mikey Madison, Paul Weissman, Lindsey Normington, Emily Weider, Luna Sofía Miranda, Vincent Radwinsky, Brittney Rodriguez, Sophia Carnabuci, Mark Eydelshteyn, Anton Bitter, Ella Rubin, Ross Brodar, Zoë Vnak, Vlad Mamai, Maria Tichinskaya, Ivy Wolk, Karren Karagulian, Vache Tovmasyan","October 17, 2024 (Russia)",United States,"English, Russian, Armenian",,"$22,232,841",2 hours 19 minutes
329,The Wolf of Wall Street,8.2,Martin Scorsese,"Terence Winter, Jordan Belfort",75.0,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley, Cristin Milioti, Christine Ebersole, Shea Whigham, Katarina Cas, P.J. Byrne, Kenneth Choi, Brian Sacca, Henry Zebrowski","January 3, 2014 (India)",United States,"English, French","$100,000,000 (estimated)","$407,039,432",3 hours
330,Top Gun: Maverick,8.2,Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig",78.0,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin, Jon Hamm, Charles Parnell, Monica Barbaro, Lewis Pullman, Jay Ellis, Danny Ramirez, Glen Powell, Jack Schumacher, Manny Jacinto, Kara Wang, Greg Tarzan Davis, Jake Picking, Raymond Lee","May 27, 2022 (India)",United States,English,"$170,000,000 (estimated)","$1,495,696,292",2 hours 10 minutes
331,No Country for Old Men,8.2,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy",92.0,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, Rodger Boyce, Beth Grant, Ana Reeder, Kit Gwin, Zach Hopkins, Chip Love, Eduardo Antonio Garcia, Gene Jones, Myk Watford","January 18, 2008 (India)",United States,"English, Spanish","$25,000,000 (estimated)","$171,632,777",2 hours 2 minutes
332,Die Hard,8.2,John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza",72.0,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason, De'voreaux White, William Atherton, Hart Bochner, James Shigeta, Alexander Godunov, Bruno Doyon, Andreas Wisniewski, Clarence Gilyard Jr., Joseph Plewa, Lorenzo Caccialanza, Gérard Bonn, Dennis Hayden, Al Leong","February 14, 2013 (India)",United States,"English, German, Italian, Japanese","$28,000,000 (estimated)","$143,651,650",2 hours 12 minutes
333,Spider-Man: No Way Home,8.2,Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee",71.0,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed, Paula Newsome, Hannibal Buress, Martin Starr","December 16, 2021 (India)",United States,English,"$200,000,000 (estimated)","$1,952,723,719",2 hours 28 minutes
334,Jurassic Park,8.2,Steven Spielberg,"Michael Crichton, David Koepp",68.0,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, BD Wong, Joseph Mazzello, Ariana Richards, Samuel L. Jackson, Wayne Knight, Gerald R. Molen, Miguel Sandoval, Cameron Thor, Christopher John Fields, Whit Hertford, Dean Cundey, Jophery C. Brown","April 15, 1994 (India)",United States,"English, Spanish","$63,000,000 (estimated)","$1,104,379,926",2 hours 7 minutes
335,Batman Begins,8.2,Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan",70.0,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Linus Roache, Mark Boone Junior, Morgan Freeman, Larry Holden, Gerard Murphy, Colin McFarlane, Sara Stewart, Gus Lewis, Richard Brake","June 17, 2005 (India)","United States, United Kingdom","English, Mandarin","$150,000,000 (estimated)","$375,404,836",2 hours 20 minutes
336,Prisoners,8.2,Denis Villeneuve,Aaron Guzikowski,70.0,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, Maria Bello, Terrence Howard, Paul Dano, Dylan Minnette, Zoë Soul, Erin Gerasimovich, Kyla-Drew, Wayne Duvall, Len Cariou, David Dastmalchian, Brad James, Anthony Reynolds, Robert C. Treveiler, Sandra Ellis Lafferty","September 27, 2013 (India)",United States,English,"$46,000,000 (estimated)","$122,127,446",2 hours 33 minutes
337,Shutter Island,8.2,Martin Scorsese,"Laeta Kalogridis, Dennis Lehane",63.0,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas, Robin Bartlett, Christopher Denham, Nellie Sciutto, Joseph Sikora, Curtiss Cook, Raymond Anthony Thomas, Joseph McKenna","June 4, 2010 (India)",United States,"English, German","$80,000,000 (estimated)","$294,946,413",2 hours 18 minutes
338,Taxi Driver,8.2,Martin Scorsese,Paul Schrader,94.0,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito, Garth Avery, Peter Boyle, Harry Cohn, Copper Cunningham, Brenda Dickson, Harry Fischler, Nat Grant, Leonard Harris, Richard Higgs, Beau Kayser","March 13, 1978 (India)",United States,"English, Spanish","$1,300,000 (estimated)","$28,580,445",1 hour 54 minutes
339,The Truman Show,8.2,Peter Weir,Andrew Niccol,90.0,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Brian Delate, Blair Slater, Peter Krause, Heidi Schanz, Ron Taylor, Don Taylor, Ted Raymond, Judy Clayton, Fritz Dominique, Angel Schmiedt, Nastassja Schmiedt, Muriel Moore","November 14, 1998 (India)",United States,English,"$60,000,000 (estimated)","$264,118,712",1 hour 43 minutes
340,The Thing,8.2,John Carpenter,"Bill Lancaster, John W. Campbell Jr.",57.0,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur, T.K. Carter, David Clennon, Richard Dysart, Charles Hallahan, Peter Maloney, Donald Moffat, Joel Polis, Thomas G. Waites, Norbert Weisser, Larry Franco, Nate Irwin, William Zeman, Adrienne Barbeau, John Carpenter","December 10, 1982 (India)","United States, Canada","English, Norwegian","$15,000,000 (estimated)","$20,630,135",1 hour 49 minutes
341,1917,8.2,Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns",78.0,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Pip Carter, Andy Apollo, Paul Tinto, Josef Davies, Billy Postlethwaite, Gabriel Akuwudike, Andrew Scott, Spike Leighton, Robert Maaser, Gerran Howell, Adam Hugill, Mark Strong, Richard McCabe, Benjamin Adams","January 17, 2020 (India)","United Kingdom, United States, India, Spain, Canada","English, French, German","$95,000,000 (estimated)","$446,064,352",1 hour 59 minutes
342,Unforgiven,8.2,Clint Eastwood,David Webb Peoples,85.0,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Thomson, David Mucci, Rob Campbell, Anthony James, Tara Frederick, Beverley Elliott, Liisa Repo-Martell, Josie Smith, Shane Thomas Meier, Aline Levasseur, Cherrilene Cardinal","October 9, 2020 (India)",United States,English,"$14,400,000 (estimated)","$159,167,799",2 hours 10 minutes
343,Kishkkindha Kandam,8.2,Dinjith Ayyathan,Bahul Ramesh,,"Asif Ali, Vijayaraghavan, Aparna Balamurali, Ashokan, Jagadish, Shebin Benson, Master Aarav, Arjun Radhakrishnan Ambat, Gibin Gopinath, Bilas Chandrahasan Nair, Nishan, Vyshnavi Raj, Kottayam Ramesh, Major Ravi, Nizhalgal Ravi, Mahendra Mullath","September 12, 2024 (India)",India,"Malayalam, Hindi, Tamil, Telugu, Kannada",,"$1,882,951",2 hours 13 minutes
344,The Sixth Sense,8.2,M. Night Shyamalan,M. Night Shyamalan,64.0,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan, Donnie Wahlberg, Peter Anthony Tambakis, Jeffrey Zubernis, Bruce Norris, Glenn Fitzgerald, Greg Wood, Mischa Barton, Angelica Page, Lisa Summerour, Firdous Bamji, Samia Shoaib, Hayden Saunier, Janis Dardaris","May 21, 2019 (India)",United States,"English, Latin, Spanish","$40,000,000 (estimated)","$672,806,432",1 hour 47 minutes
345,Green Book,8.2,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly",69.0,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov, Mike Hatton, P.J. Byrne, Joe Cortese, Mary Agnes Nixon, Von Lewis, Jon Sortland, Don Stark, Anthony Mangano, Paul Sloan, Quinn Duffy, Seth Hurwitz, Hudson Galloway, Gavin Lyle Foley","November 21, 2018 (India)","United States, China","English, Italian, Russian, German","$23,000,000 (estimated)","$321,752,656",2 hours 10 minutes
346,Snatch,8.2,Guy Ritchie,Guy Ritchie,55.0,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones, Ade, William Beck, Andy Beckwith, Ewen Bremner, Jason Buckham, Mickey Cantwell, Nicola Collins, Teena Collins, Charles Cork, James Cunningham, Sorcha Cusack, Mickey Dee, Benicio Del Toro, Sam Douglas","October 31, 2019 (India)","United Kingdom, United States","English, Russian","£6,000,000 (estimated)","$83,557,872",1 hour 44 minutes
347,Klaus,8.2,"Sergio Pablos, Carlos Martínez López","Sergio Pablos, Jim Mahoney, Zach Lewis",65.0,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm MacDonald, Joan Cusack, Evan Agos, Sky Alexis, Jaeden Bettencourt, Teddy Blum, Mila Brener, Sydney Brower, Finn Carr, Kendall Joy Hall, Hailey Hermida, Lexie Holland","November 16, 2019 (India)","Spain, United Kingdom, United States, Austria, Canada, France","English, Saami","$40,000,000 (estimated)",,1 hour 36 minutes
348,A Clockwork Orange,8.2,Stanley Kubrick,"Stanley Kubrick, Anthony Burgess",77.0,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive, Adrienne Corri, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus, Aubrey Morris, Godfrey Quigley, Sheila Raynor, Madge Ryan, John Savident, Anthony Sharp","October 4, 2017 (India)","United Kingdom, United States",English,"$2,200,000 (estimated)","$27,034,174",2 hours 16 minutes
349,There Will Be Blood,8.2,Paul Thomas Anderson,"Paul Thomas Anderson, Upton Sinclair",93.0,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer, Matthew Braden Stringer, Jacob Stringer, Joseph Mussey, Barry Del Sherman, Harrison Taylor, Stockton Taylor, Paul F. Tompkins, Dillon Freasier, Kevin Breznahan, Jim Meskimen, Erica Sullivan, Randall Carver, Coco Leigh, Sydney McCallister","January 30, 2008 (India)",United States,"English, American Sign Language","$25,000,000 (estimated)","$76,186,873",2 hours 38 minutes
350,Full Metal Jacket,8.2,Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford",78.0,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin, Dorian Harewood, Kevyn Major Howard, Arliss Howard, Ed O'Ross, John Terry, Kieron Jecchinis, Kirk Taylor, Tim Colceri, Jon Stafford, Bruce Boa, Ian Tyler, Sal Lopez, Gary Landon Mills, Papillon Soo","July 10, 1987 (United States)","United Kingdom, United States","English, Vietnamese","$30,000,000 (estimated)","$50,193,748",1 hour 56 minutes
351,Casino,8.2,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",73.0,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles, Alan King, Kevin Pollak, L.Q. Jones, Dick Smothers, Frank Vincent, John Bloom, Pasquale Cajano, Melissa Prophet, Bill Allison, Vinny Vella, Philip Suriano, Erika von Tagen, Frankie Avalon","July 3, 2013 (India)","France, United States",English,"$52,000,000 (estimated)","$116,112,375",2 hours 58 minutes
352,A Beautiful Mind,8.2,Ron Howard,"Akiva Goldsman, Sylvia Nasar",72.0,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany, Adam Goldberg, Josh Lucas, Anthony Rapp, Jason Gray-Stanford, Judd Hirsch, Austin Pendleton, Vivien Cardone, Jillie Simon, Victor Steinbach, Tanya Clarke, Thomas F. Walsh, Jesse Doran, Kent Cassella","October 9, 2020 (India)",United States,English,"$58,000,000 (estimated)","$316,791,257",2 hours 15 minutes
353,Kill Bill: Vol. 1,8.2,Quentin Tarantino,"Quentin Tarantino, Uma Thurman",69.0,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Lucy Liu, Vivica A. Fox, Julie Dreyfus, Chiaki Kuriyama, Shin'ichi Chiba, Chia-Hui Liu, Michael Parks, Michael Bowen, Jun Kunimura, Kenji Ôba, Yuki Kazamatsuri, James Parks, Sakichi Sato, Jonathan Loughran","October 10, 2003 (United States)","United States, China","English, Japanese, French","$30,000,000 (estimated)","$180,908,413",1 hour 51 minutes
354,El Laberinto Del Fauno,8.2,Guillermo del Toro,Guillermo del Toro,98.0,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú, Doug Jones, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué, Gonzalo Uriarte, Eusebio Lázaro, Francisco Vidal, Juanjo Cucalón, Lina Mira, Mario Zorrilla, Sebastián Haro, Mila Espiga","August 6, 2018 (India)","Mexico, Spain",Spanish,"$19,000,000 (estimated)","$83,863,565",1 hour 58 minutes
355,Howl's Moving Castle,8.2,Hayao Miyazaki,"Hayao Miyazaki, Diana Wynne Jones",82.0,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa, Ryunosuke Kamiki, Mitsunori Isaki, Yô Ôizumi, Akio Ôtsuka, Daijirô Harada, Haruko Katô, Jean Simmons, Christian Bale, Lauren Bacall, Blythe Danner, Emily Mortimer, Josh Hutcherson, Billy Crystal, Jena Malone","April 1, 2020 (India)","Japan, United States",Japanese,"$24,000,000 (estimated)","$240,589,632",1 hour 59 minutes
356,Tumbbad,8.2,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Mitesh Shah, Adesh Prasad, Rahi Anil Barve",,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty, Deepak Damle, Cameron Anderson, Dhundiraj Prabhakar Jogalekar, Madhav Hari Joshi, Harsh K., Piyush Kaushik, Harish Khanna, Anika Radhakrishnan, Arohi Radhakrishnan, Mohammad Samad, Rudra Soni","October 12, 2018 (India)","India, Sweden","Hindi, Marathi",,"$1,691,980",1 hour 48 minutes
357,L.A. Confidential,8.2,Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson",91.0,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, James Cromwell, Danny DeVito, David Strathairn, Ron Rifkin, Matt McCoy, Paul Guilfoyle, Paolo Seganti, Elisabeth Granli, Sandra Taylor, Steve Rankin, Graham Beckel, Allan Graf, Precious Chong, Symba","September 19, 1997 (United States)",United States,English,"$35,000,000 (estimated)","$126,216,940",2 hours 18 minutes
358,Finding Nemo,8.2,"Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds",90.0,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Joe Ranft, Geoffrey Rush, Andrew Stanton, Elizabeth Perkins, Nicholas Bird, Bob Peterson, Barry Humphries, Eric Bana, Bruce Spence","October 24, 2003 (India)","United States, Japan","English, Japanese, Russian","$94,000,000 (estimated)","$941,637,960",1 hour 40 minutes
359,Indiana Jones and the Last Crusade,8.2,Steven Spielberg,"Jeffrey Boam, George Lucas, Menno Meyjes",65.0,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, John Rhys-Davies, Julian Glover, River Phoenix, Michael Byrne, Kevork Malikyan, Robert Eddison, Richard Young, Alexei Sayle, Alex Hyde-White, Paul Maxwell, Isla Blair, Vernon Dobtcheff, J.J. Hardy, Bradley Gregg","July 26, 1990 (India)",United States,"English, German, Greek, Latin, Italian","$48,000,000 (estimated)","$474,171,806",2 hours 7 minutes
360,Der Untergang,8.2,Oliver Hirschbiegel,"Bernd Eichinger, Joachim Fest, Traudl Junge",82.0,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler, Corinna Harfouch, Heino Ferch, Christian Berkel, Matthias Habich, Thomas Kretschmann, Michael Mendl, André Hennicke, Ulrich Noethen, Birgit Minichmayr, Rolf Kanies, Justus von Dohnányi, Dieter Mann, Christian Redl, Götz Otto","July 4, 2006 (India)","Germany, Austria, Italy","German, Russian, French, English","€13,500,000 (estimated)","$92,181,574",2 hours 36 minutes
361,Gone with the Wind,8.2,"Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",97.0,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard, Olivia de Havilland, Rand Brooks","July 8, 2020 (India)",United States,English,"$3,977,000 (estimated)","$402,382,193",3 hours 58 minutes
362,El Secreto De Sus Ojos,8.2,Juan José Campanella,"Eduardo Sacheri, Juan José Campanella",80.0,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, Javier Godino, Bárbara Palladino, Rudy Romano, Alejandro Abelenda, Mario Alarcón, Guillermo Francella, Sebastián Blanco, Mariano Argento, José Luis Gioia, Juan José Ortíz, Kiko Cerone, Fernando Pardo, Maximiliano Trento, Sergio Santana","August 13, 2009 (Argentina)","Argentina, Spain",Spanish,"$2,000,000 (estimated)","$35,079,650",2 hours 9 minutes
363,The Father,8.2,Florian Zeller,"Christopher Hampton, Florian Zeller",88.0,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots, Rufus Sewell, Ayesha Dharker, Roman Zeller, Adnan Kundi, Brian Rodger, Evie Wray","April 23, 2021 (India)","United Kingdom, France, United States",English,"$6,000,000 (estimated)","$24,048,935",1 hour 37 minutes
364,Monty Python and the Holy Grail,8.2,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle",91.0,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes, Bee Duffell, John Young, Rita Davies, Avril Stewart, Sally Kinghorn, Mark Zycon, Elspeth Cameron, Mitsuko Forstater, Sandy Johnson","December 6, 1979 (India)",United Kingdom,"English, French, Latin, Swedish","£229,575 (estimated)","$2,817,496",1 hour 31 minutes
365,Some Like It Hot,8.2,Billy Wilder,"Billy Wilder, I.A.L. Diamond, Robert Thoeren",98.0,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien, Joe E. Brown, Nehemiah Persoff, Joan Shawlee, Billy Gray, George E. Stone, Dave Barry, Mike Mazurki, Harry Wilson, Beverly Wills, Barbara Drew, Edward G. Robinson Jr., Sam Bagley, Brandon Beach","March 19, 1959 (United States)",United States,English,"$2,883,848 (estimated)","$208,457",2 hours 1 minute
366,The Great Escape,8.2,John Sturges,"Paul Brickhill, James Clavell, W.R. Burnett",86.0,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson, James Donald, Donald Pleasence, James Coburn, Hannes Messemer, David McCallum, Gordon Jackson, John Leyton, Angus Lennie, Nigel Stock, Robert Graf, Jud Taylor, Hans Reiser, Harry Riebauer, William Russell","July 4, 1963 (United States)",United States,"English, German, French, Russian, Spanish","$4,000,000 (estimated)","$230,637",2 hours 52 minutes
367,The Elephant Man,8.2,David Lynch,"Christopher De Vore, Eric Bergren, David Lynch",78.0,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller, Freddie Jones, Michael Elphick, Hannah Gordon, Helen Ryan, John Standing, Dexter Fletcher, Lesley Dunlop, Phoebe Nicholls, Pat Gorman, Claire Davenport, Orla Pederson, Patsy Smart, Frederick Treves",1983 (India),"United States, United Kingdom","English, French","$5,000,000 (estimated)","$26,028,672",2 hours 4 minutes
368,Ran,8.2,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni, Masato Ide",97.0,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada, Yoshiko Miyazaki, Hisashi Igawa, Pîtâ, Masayuki Yui, Kazuo Katô, Norio Matsui, Toshiya Ito, Kenji Kodama, Takashi Watanabe, Mansai Nomura, Takeshi Katô, Jun Tazaki, Hitoshi Ueki","June 1, 1985 (Japan)","Japan, France",Japanese,"$11,500,000 (estimated)","$4,172,381",2 hours 40 minutes
369,Per qualche dollaro in più,8.2,Sergio Leone,"Sergio Leone, Fulvio Morsella, Luciano Vincenzoni",74.0,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp, Luigi Pistilli, Klaus Kinski, Luis Rodríguez, Benito Stefanelli, Panos Papadopulos, Aldo Sambrell, Roberto Camardiel, Joseph Egger, Tomás Blanco, Lorenzo Robledo, Dante Maggio, Sergio Mendizábal, Diana Rabito, Giovanni Tarallo","July 1, 2023 (Italy)","Italy, Spain, West Germany","Italian, English","$600,000 (estimated)","$15,000,000",2 hours 12 minutes
370,All About Eve,8.2,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr",98.0,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud","May 1, 1951 (India)",United States,"English, French","$1,400,000 (estimated)","$154,501",2 hours 18 minutes
371,Dial M for Murder,8.2,Alfred Hitchcock,"Frederick Knott, Charles Dorat",75.0,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson, Leo Britt, Patrick Allen, George Leigh, George Alderson, Robin Hughes, Richard Bender, Robin Sanders Clark, Jack Cunningham, Robert Dobson, Guy Doleman, Bess Flowers, Robert Garvin, Herschel Graham","July 24, 2020 (India)",United States,English,"$1,400,000 (estimated)","$45,313",1 hour 45 minutes
